"filename", "language", "C#", "XML", "comment", "blank", "total"
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\PlayFabEditor.cs", "C#", 359, 0, 14, 61, 434
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\Components\ProgressBar.cs", "C#", 140, 0, 3, 13, 156
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\Components\SubMenuComponent.cs", "C#", 88, 0, 1, 14, 103
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\Components\TitleDataEditor.cs", "C#", 45, 0, 1, 9, 55
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\Components\TitleDataViewer.cs", "C#", 131, 0, 4, 22, 157
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\Components\TitleInternalDataEditor.cs", "C#", 45, 0, 1, 10, 56
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\Components\TitleInternalDataViewer.cs", "C#", 125, 0, 3, 20, 148
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\Panels\PlayFabEditorAuthenticate.cs", "C#", 277, 0, 4, 46, 327
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\Panels\PlayFabEditorDataMenu.cs", "C#", 106, 0, 0, 18, 124
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\Panels\PlayFabEditorHeader.cs", "C#", 51, 0, 3, 16, 70
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\Panels\PlayFabEditorHelpMenu.cs", "C#", 78, 0, 0, 23, 101
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\Panels\PlayFabEditorMenu.cs", "C#", 114, 0, 0, 19, 133
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\Panels\PlayFabEditorPackages.cs", "C#", 100, 0, 2, 12, 114
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\Panels\PlayFabEditorSDKTools.cs", "C#", 337, 0, 14, 60, 411
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\Panels\PlayFabEditorSettings.cs", "C#", 314, 0, 3, 48, 365
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\Panels\PlayFabEditorToolsMenu.cs", "C#", 155, 0, 10, 20, 185
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\PlayFabEditorSDK\ISerializer.cs", "C#", 63, 0, 3, 15, 81
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\PlayFabEditorSDK\PlayFabEditorApi.cs", "C#", 82, 0, 0, 13, 95
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\PlayFabEditorSDK\PlayFabEditorHttp.cs", "C#", 197, 0, 3, 28, 228
"e:\GitProjects\Mobiilisovellusten-kehitysprojekti-Ryhm-4\MobileTest\Assets\PlayFabEditorExtensions\Editor\Scripts\PlayFabEditorSDK\PlayFabEditorModels.cs", "C#", 427, 0, 0, 37, 464
