Date : 2021-11-30 14:27:46
Directory : e:\GitProjects\group_6\Project_Sulfur\Assets
Total : 72 files,  3149 codes, 1118 comments, 1058 blanks, all 5325 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
+-----------+------------+------------+------------+------------+------------+
| C#        |         70 |      3,043 |      1,105 |      1,030 |      5,178 |
| ShaderLab |          2 |        106 |         13 |         28 |        147 |
+-----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         72 |      3,149 |      1,118 |      1,058 |      5,325 |
| GGEZ                                                                                               |          1 |         74 |         40 |         25 |        139 |
| GGEZ\PerfectPixelCamera                                                                            |          1 |         74 |         40 |         25 |        139 |
| GGEZ\PerfectPixelCamera\Scripts                                                                    |          1 |         74 |         40 |         25 |        139 |
| Scripts                                                                                            |         69 |      2,969 |      1,065 |      1,005 |      5,039 |
| Scripts\Actions                                                                                    |          3 |        140 |         19 |         47 |        206 |
| Scripts\Camera                                                                                     |          1 |         18 |          3 |          5 |         26 |
| Scripts\Enemies                                                                                    |          1 |         38 |         10 |         10 |         58 |
| Scripts\Inventory                                                                                  |          8 |        439 |         73 |        124 |        636 |
| Scripts\Main Menu                                                                                  |          1 |         19 |          0 |          6 |         25 |
| Scripts\Player                                                                                     |         10 |        546 |        115 |        185 |        846 |
| Scripts\SO Scripts                                                                                 |         11 |        225 |        320 |         88 |        633 |
| Scripts\SO Scripts\Biomes                                                                          |          1 |         12 |          0 |          4 |         16 |
| Scripts\Tiles                                                                                      |         16 |      1,035 |        456 |        392 |      1,883 |
| Scripts\UI                                                                                         |          5 |        189 |         19 |         56 |        264 |
| Shaders                                                                                            |          2 |        106 |         13 |         28 |        147 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| filename                                                                                           | language  | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
| e:\GitProjects\group_6\Project_Sulfur\Assets\GGEZ\PerfectPixelCamera\Scripts\PerfectPixelCamera.cs | C#        |         74 |         40 |         25 |        139 |
| e:\GitProjects\group_6\Project_Sulfur\Assets\Scripts\Actions\action_indicator.cs                   | C#        |         69 |         14 |         28 |        111 |
| e:\GitProjects\group_6\Project_Sulfur\Assets\Scripts\Actions\breaking_indicator.cs                 | C#        |         41 |          3 |          9 |         53 |
| e:\GitProjects\group_6\Project_Sulfur\Assets\Scripts\Actions\spawn_action_indicator.cs             | C#        |         30 |          2 |         10 |         42 |
| e:\GitProjects\group_6\Project_Sulfur\Assets\Scripts\Camera\camera_follow.cs                       | C#        |         18 |          3 |          5 |         26 |
| e:\GitProjects\group_6\Project_Sulfur\Assets\Scripts\Enemies\basic_gob.cs                          | C#        |         38 |         10 |         10 |         58 |
| e:\GitProjects\group_6\Project_Sulfur\Assets\Scripts\Inventory\IItemContainer.cs                   | C#        |          8 |          0 |          2 |         10 |
| e:\GitProjects\group_6\Project_Sulfur\Assets\Scripts\Inventory\build_button.cs                     | C#        |        113 |         11 |         46 |        170 |
| e:\GitProjects\group_6\Project_Sulfur\Assets\Scripts\Inventory\drop_down.cs                        | C#        |         18 |          5 |          6 |         29 |
| e:\GitProjects\group_6\Project_Sulfur\Assets\Scripts\Inventory\hotbar_script.cs                    | C#        |         52 |          5 |         12 |         69 |
| e:\GitProjects\group_6\Project_Sulfur\Assets\Scripts\Inventory\inventory.cs                        | C#        |         81 |          4 |         11 |         96 |
| e:\GitProjects\group_6\Project_Sulfur\Assets\Scripts\Inventory\item_drag.cs                        | C#        |         29 |          0 |          6 |         35 |
| e:\GitProjects\group_6\Project_Sulfur\Assets\Scripts\Inventory\item_hotbar.cs                      | C#        |         70 |         14 |         21 |        105 |
| e:\GitProjects\group_6\Project_Sulfur\Assets\Scripts\Inventory\item_script.cs                      | C#        |         68 |         34 |         20 |        122 |
| e:\GitProjects\group_6\Project_Sulfur\Assets\Scripts\Main Menu\MainMenu.cs                         | C#        |         19 |          0 |          6 |         25 |
| e:\GitProjects\group_6\Project_Sulfur\Assets\Scripts\PauseMenu.cs                                  | C#        |         36 |          0 |          8 |         44 |
| e:\GitProjects\group_6\Project_Sulfur\Assets\Scripts\Player\change_tile_color.cs                   | C#        |         56 |          1 |         18 |         75 |
